id,latitude,longitude,name
ASN00006105,-25.8925,113.5772,"SHARK BAY AIRPORT"
ASN00007001,-26.9667,117.9167,"BEEBYN"
ASN00007006,-28.0411,117.6703,"BOOGARDIE"
ASN00007007,-26.9844,116.5361,"BOOLARDY"
ASN00007008,-25.5067,118.7933,"BRYAH"
ASN00007014,-27.2528,117.6525,"COODARDY"
ASN00007017,-27.4233,117.8994,"CUE"
ASN00007019,-24.0019,119.5725,"BULLOO DOWNS"
ASN00007023,-25.6864,119.2258,"DOOLGUNNA"
ASN00007024,-28.2731,117.1544,"EDAH"
ASN00007030,-26.1142,117.5047,"JUDAL STATION"
ASN00007031,-26.9050,118.8361,"HILLVIEW"
ASN00007037,-28.5564,117.7803,"KIRKALOCKA"
ASN00007045,-26.6136,118.5372,"MEEKATHARRA AIRPORT"
ASN00007048,-27.4222,116.8250,"MEKA STATION"
ASN00007050,-25.0942,118.2983,"MILGUN"
ASN00007055,-25.8064,117.3906,"MOUNT GOULD"
ASN00007059,-24.2297,118.2408,"MOUNT VERNON"
ASN00007064,-27.3636,116.4261,"MURGOO"
ASN00007068,-29.4250,117.2906,"NINGHAN STATION"
ASN00007072,-29.1886,117.9222,"PULLAGAROO"
ASN00007078,-26.5597,118.5397,"SHERWOOD"
ASN00007081,-28.8928,117.1333,"THUNDELARRA"
ASN00007083,-23.6239,118.6561,"TUREE CREEK"
ASN00007095,-28.2322,117.6556,"YOWERAGABBIE"
ASN00007096,-27.9808,116.0347,"YUIN"
ASN00007099,-27.1308,118.7803,"YARRABUBBA"
ASN00007101,-26.2822,118.6933,"MUNARRA"
ASN00007103,-25.4800,119.6492,"NEDS CREEK"
ASN00007105,-24.8094,118.1111,"WOODLANDS"
ASN00007124,-25.2806,116.2083,"DALGETY DOWNS"
ASN00007129,-27.8036,116.8856,"MELANGATA"
ASN00007132,-25.0964,117.5922,"MOUNT CLERE"
ASN00007134,-26.7950,118.9842,"MURCHISON DOWNS"
ASN00007139,-29.2708,117.6836,"PAYNES FIND"
ASN00007149,-26.5942,118.4883,"MEEKATHARRA"
ASN00007153,-23.5531,119.1478,"PRAIRIE DOWNS"
ASN00007159,-27.5486,118.2172,"YARRAQUIN"
ASN00007176,-23.4169,119.7989,"NEWMAN AERO"
ASN00007177,-23.6042,117.6892,"MININER"
ASN00007179,-24.4114,118.9408,"TANGADEE"
ASN00007180,-25.0386,120.0064,"MARYMIA"
ASN00007181,-23.9775,120.0108,"WEELARRANA"
ASN00007185,-23.1725,117.7494,"PARABURDOO AERO"
ASN00007190,-29.3892,117.8281,"MARANALGO"
ASN00007193,-27.0503,117.6503,"GLEN STATION"
ASN00007195,-26.0783,116.1533,"BYRO"
ASN00007197,-28.2817,118.3111,"CHALLA"
ASN00007600,-28.1156,117.8425,"MOUNT MAGNET AERO"
ASN00008002,-30.5967,116.7714,"BALLIDU"
ASN00008004,-28.0058,114.2206,"BALLINE"
ASN00008005,-30.7294,116.0200,"BARBERTON"
ASN00008008,-30.5831,116.1350,"BERKSHIRE VALLEY"
ASN00008013,-29.3303,116.1433,"BOWGADA"
ASN00008014,-30.2192,116.7783,"DALWALLINU NORTH"
ASN00008016,-30.4450,117.0406,"GLENFERRIE"
ASN00008022,-30.2911,116.3306,"BALGERBINE"
ASN00008025,-29.6889,115.8869,"CARNAMAH"
ASN00008028,-28.5008,114.7897,"NABAWA"
ASN00008037,-29.8819,116.0233,"COOROW"
ASN00008039,-30.2772,116.6619,"DALWALLINU COMPARISON"
ASN00008050,-28.7769,114.6050,"GERALDTON TOWN"
ASN00008051,-28.7953,114.6975,"GERALDTON AIRPORT"
ASN00008052,-28.1700,114.7614,"GLENEVA"
ASN00008057,-29.5486,115.0689,"GREEN GROVE"
ASN00008060,-29.0364,115.5536,"SOUTH HOLMWOOD"
ASN00008061,-30.2842,116.6328,"HYDE PARK"
ASN00008065,-28.4292,114.6542,"ISSEKA"
ASN00008066,-30.7008,117.0608,"KOKARDINE"
ASN00008072,-29.7586,116.4444,"LATHAM"
ASN00008075,-28.2103,114.3050,"LYNTON"
ASN00008078,-29.2419,115.7794,"MALLEE VALE"
ASN00008079,-29.0711,115.6261,"MANARRA"
ASN00008087,-30.4228,116.4583,"MINDALLA"
ASN00008088,-29.1906,115.4414,"MINGENEW"
ASN00008095,-28.5367,115.5142,"MULLEWA"
ASN00008096,-28.1525,114.5689,"MUMBY"
ASN00008100,-28.3456,114.6367,"NORTHAMPTON"
ASN00008107,-29.4417,116.2875,"PERENJORI"
ASN00008113,-27.8325,114.7364,"RIVERSIDE"
ASN00008121,-29.5339,115.7628,"THREE SPRINGS"
ASN00008128,-28.5536,115.2456,"TENINDEWA BINDU"
ASN00008137,-30.8917,116.7186,"WONGAN HILLS"
ASN00008139,-30.1069,116.6328,"WUBIN"
ASN00008143,-29.2872,115.6331,"YANDANOOKA"
ASN00008146,-30.0706,116.2092,"YTINICHE"
ASN00008147,-28.3250,114.9589,"YUNA"
ASN00008151,-30.6650,116.1386,"WALEBING"
ASN00008157,-28.8978,115.8628,"CANNA"
ASN00008168,-28.5467,114.6244,"HOWATHARRA"
ASN00008179,-30.6583,116.9344,"EAST KONDUT"
ASN00008200,-28.6936,115.0408,"ERADU"
ASN00008202,-30.6219,116.3794,"BINDI BINDI NORTH"
ASN00008230,-30.3817,116.7217,"ELENA"
ASN00008231,-29.4667,116.1325,"OAKLANDS"
ASN00008234,-28.5675,115.2814,"BYRON"
ASN00008237,-28.6857,115.2806,"TENINDEWA"
ASN00008238,-30.0989,116.2339,"HAKEA"
ASN00008240,-28.8939,115.4539,"COOLANGATTA"
ASN00008251,-27.7119,114.1650,"KALBARRI"
ASN00008254,-30.7092,116.7744,"KONDUT"
ASN00008264,-29.5147,116.8011,"WANARRA"
ASN00008271,-28.8114,115.9675,"NINDETHANA FARM"
ASN00008273,-29.3586,115.4503,"ARENA"
ASN00008274,-28.4194,114.8186,"NARALING"
ASN00008276,-29.2236,115.1075,"IRWIN HOUSE"
ASN00008280,-27.5658,114.6733,"EURARDY"
ASN00008281,-30.3322,116.6828,"COURTLEA"
ASN00008283,-30.1453,116.3844,"KARAWA"
ASN00008285,-28.3181,114.7614,"MATARANKA"
ASN00008286,-28.2750,114.6761,"WUNDI"
ASN00008288,-28.2575,114.6033,"GHURKA"
ASN00008290,-28.3008,113.5936,"NORTH ISLAND"
ASN00008292,-28.5164,115.3700,"TAWARRI WEST"
ASN00008294,-28.2094,115.2850,"WANDANA"
ASN00008295,-29.2094,115.2628,"STRAWBERRY"
ASN00008296,-29.2039,116.0247,"MORAWA AIRPORT"
ASN00008297,-30.2761,116.6714,"DALWALLINU"
ASN00008298,-28.7597,114.9370,"TIBRADDEN"
ASN00008299,-29.1103,115.3173,"ARRADALE"
ASN00008300,-29.0692,115.0915,"TABLETOP"
